"Date","Price","Open","High","Low","Vol.","Change %"
"10/13/2021","15.34","16.76","16.90","15.34","742.50K","-8.64%"
"10/12/2021","16.79","16.98","16.99","16.25","591.00K","0.12%"
"10/11/2021","16.77","17.75","17.75","16.82","498.50K","-6.83%"
"10/08/2021","18.00","18.07","18.40","17.75","122.00K","-1.37%"
"10/07/2021","18.25","18.47","18.60","18.34","138.50K","-0.82%"
"10/06/2021","18.40","18.25","18.50","18.21","39.00K","0.77%"
"10/05/2021","18.26","19.01","19.20","18.26","263.00K","-4.35%"
"10/04/2021","19.09","18.75","19.25","18.55","246.00K","1.76%"
"10/01/2021","18.76","18.45","19.20","18.38","651.00K","1.96%"
"09/30/2021","18.40","17.90","18.50","17.65","748.50K","3.08%"
"09/29/2021","17.85","19.50","19.50","17.84","1.32M","-7.70%"
"09/28/2021","19.34","18.93","19.44","18.56","138.50K","3.04%"
"09/27/2021","18.77","19.74","19.74","18.51","293.50K","-4.96%"
"09/24/2021","19.75","20.00","20.25","19.30","1.14M","-1.00%"
"09/23/2021","19.95","20.45","20.89","19.70","582.00K","-0.99%"
"09/22/2021","20.15","20.70","20.70","19.40","793.00K","-1.71%"
"09/21/2021","20.50","21.29","21.65","20.50","260.00K","-2.43%"
"09/20/2021","21.01","22.00","22.00","21.01","206.50K","-4.24%"
"09/17/2021","21.94","21.96","22.50","21.40","301.00K","1.11%"
"09/16/2021","21.70","21.10","22.00","20.75","480.00K","3.33%"
"09/15/2021","21.00","22.29","22.29","21.00","400.50K","-4.11%"
"09/14/2021","21.90","22.49","22.49","21.51","340.00K","-0.45%"
"09/13/2021","22.00","23.00","23.00","22.00","547.00K","-1.79%"
"09/10/2021","22.40","22.10","22.69","21.60","701.50K","0.90%"
"09/09/2021","22.20","22.19","22.75","21.75","600.50K","-1.33%"
"09/08/2021","22.50","22.60","23.00","21.86","710.00K","1.12%"
"09/07/2021","22.25","23.60","23.76","22.13","1.10M","-5.72%"
"09/06/2021","23.60","24.20","24.20","23.51","185.50K","-1.26%"
"09/03/2021","23.90","24.03","24.58","23.90","327.50K","-1.65%"
"09/02/2021","24.30","23.35","24.70","23.31","1.41M","3.40%"
"09/01/2021","23.50","23.66","24.25","23.10","1.38M","-1.47%"
"08/31/2021","23.85","23.69","24.00","23.60","74.00K","1.58%"
"08/30/2021","23.48","23.99","24.08","23.48","342.00K","-0.51%"
"08/27/2021","23.60","23.76","24.05","23.48","860.00K","-1.67%"
"08/26/2021","24.00","24.05","24.05","23.75","713.50K","-1.03%"
"08/25/2021","24.25","23.99","24.25","23.80","1.94M","1.93%"
"08/24/2021","23.79","24.44","24.44","23.60","813.50K","-1.29%"
"08/23/2021","24.10","24.01","25.00","23.91","1.30M","0.84%"
"08/20/2021","23.90","23.80","24.44","23.70","424.50K","0.59%"
"08/17/2021","23.76","24.19","24.25","23.75","357.00K","-1.00%"
"08/16/2021","24.00","24.49","24.50","23.50","989.00K","-1.03%"
"08/13/2021","24.25","24.19","24.40","24.00","174.00K","0.62%"
"08/12/2021","24.10","24.75","24.75","24.06","300.00K","-1.87%"
"08/11/2021","24.56","25.25","25.40","24.50","763.50K","-2.50%"
"08/10/2021","25.19","24.50","25.25","24.00","3.29M","2.57%"
"08/09/2021","24.56","24.80","25.37","24.50","339.50K","-2.73%"
"08/06/2021","25.25","25.15","25.40","25.15","620.00K","0.80%"
"08/05/2021","25.05","25.90","25.90","25.02","809.00K","-2.53%"
"08/04/2021","25.70","25.45","26.25","25.30","2.57M","1.78%"
"08/03/2021","25.25","24.48","25.57","24.45","1.96M","3.65%"
"08/02/2021","24.36","24.70","24.88","24.26","428.00K","0.37%"
"07/30/2021","24.27","23.75","25.30","23.75","3.45M","1.89%"
"07/29/2021","23.82","23.59","24.00","23.09","1.92M","0.51%"
"07/28/2021","23.70","24.90","24.90","23.41","2.51M","-3.27%"
"07/27/2021","24.50","24.60","25.48","24.50","3.20M","0.00%"
"07/26/2021","24.50","25.19","25.80","24.31","2.10M","-3.92%"
"07/23/2021","25.50","26.00","26.74","25.15","2.81M","-1.92%"
"07/19/2021","26.00","26.05","26.66","26.00","888.00K","-0.38%"
"07/16/2021","26.10","27.01","27.01","26.00","5.33M","-2.97%"
"07/15/2021","26.90","28.10","28.10","26.55","4.61M","-3.86%"
"07/14/2021","27.98","27.16","28.63","25.50","11.21M","5.98%"
